q_FormDataId,q_63,q_83,School,Grade,Sex,APS45,APSVNEN,RankingF,NumberofChi,Readbook,Topic,FutureJob_VN,FutureJob_VN (translated),CareerFat,CareerFat (translated),CarFatGr,AgeFat,EduFat,CareerMot,CareerMot (translated),CarMotGr,AgeMot,EduMot,EcoStt,KnowledgeInc,EstIncome,Buybook,Hobby,TimeSci,TimeSoc,Readstory,Typebook,Typebook_Other,Reason,Source,PrioAct,AftAct,Read_like,EncourAct,MostlikedAct,Bookcase,Notread_like
51,37,43075,2,8,Male,6.2,0,3,3,yes,d,công nhân,Worker,Thợ xây,Worker,Labor,50,UnderHi,làm ruộng,Farmer,Labor,40,Hi,med,no,NA,yes,a,1,2,no,c,NA,a,buy,a,a,"Shin cậu bé bút chì
Cô nan",yes,a,b,"Truyện cổ tích
Truyện tranh
Nghìn lẻ một đêm"
52,6.248,43074,3,9,Male,0,0,1,2,no,a,Giáo viên thể dục,Teacher,Thợ xây,Worker,Labor,39,UnderHi,Giáo viên,Teacher,Intellectuals,39,PostGrad,med,yes,NA,yes,c,1,2,no,b,NA,a,buy,c,a,"Những tấm lòng cao cả
Truyện Kiều",yes,a,d,"Chí Phèo
Những ngày thơ ấu
Bỉ vỏ"
53,6.249,43074,3,9,Female,8,0,1,2,yes,a,Bác sĩ,Doctor,Làm ruộng,Farmer,Labor,50,UnderHi,Giáo viên,Teacher,Intellectuals,39,PostGrad,med,no,NA,yes,b,2,1,yes,a,NA,a,buy,a,c,"Hạt giống tâm hồn
Truyện Kiều",yes,b,d,"10 vạn câu hỏi vì sao
Harry Potter
Truyện Lục Vân Tiên"
54,6.254,43074,3,9,Female,8,0,1,2,yes,d,Bác sĩ,Doctor,Làm ruộng,Farmer,Labor,39,Hi,Làm ruộng,Farmer,Labor,35,Hi,med,no,NA,yes,b,2,1,yes,c,NA,a,borrow,a,d,"Nghiên cứu khoa học
Khám phá thế giới kì thú",yes,d,b,"Truyện Kiều
Harry Botter [sic]
Quà tặng cuộc sống"
55,6.255,43074,3,9,Female,7,0,2,3,yes,d,Nhân viên siêu thị,Employee,Công nhân,Worker,Labor,39,UnderHi,Công nhân,Worker,Labor,40,UnderHi,rich,no,NA,yes,b,1,1,yes,a,NA,c,borrow,d,a,Conan,yes,b,d,"Hạt giống tâm hồn
Doraemon"
56,38,43075,2,8,Male,6,0,1,2,yes,b,công nhân,Worker,Công nhân,Worker,Labor,38,Hi,Công nhân,Worker,Labor,36,Hi,med,no,NA,yes,b,1,1,no,a,NA,a,buy,a,b,"Đô Rê Mon
Cô nan",yes,b,a,"Truyện cổ tích
Truyện cười
Câu đố"
57,6.197,43074,3,9,Male,4.5,0,3,3,yes,c,Phiên dich tiếng Anh,Interpreter,Làm ruộng,Farmer,Labor,53,Hi,Làm ruộng,Farmer,Labor,46,Hi,med,no,NA,yes,b,2,1,no,a,NA,a,borrow,b,d,"10 vạn câu hỏi vì sao?
Câu đố Việt Nam",yes,a,c,"Sách khoa học
Sách danh nhân
Sách về câu đố"
58,39,43075,2,8,Male,5.5,0,1,2,yes,b,công nhân,Worker,làm ruộng,Farmer,Labor,36,UnderHi,làm thợ,Worker,Labor,30,Hi,med,no,NA,yes,b,2,1,no,a,NA,a,buy,d,b,"Đô Rê Mon
Cô nan",yes,d,a,"Truyện cổ tích
Truyện cười
Truyện dân gian"
59,6.198,43074,3,9,Male,5,0,2,2,yes,b,Danh nhân,Businessman,Công nhân,Worker,Labor,NA,UnderHi,Công nhân,Worker,Labor,NA,Hi,med,no,NA,yes,c,2,3,yes,b,NA,a,buy,b,d,"Doraemon
Conan",yes,a,a,"Danh nhân thế giới
Tìm hiểu thế giới
Người nguyên thủy"
60,40,43075,2,8,Male,6.5,0,1,2,yes,a,công nhân,Worker,Thợ xây,Worker,Labor,38,UnderHi,Công nhân,Worker,Labor,32,UnderHi,med,no,NA,yes,b,1,2,no,b,NA,c,borrow,b,b,"Đô Rê Mon
Cô nan",yes,c,b,"Tuyển tập truyện cười
Tuyển tập truyện cổ tích
Nghìn lẻ một đêm"
61,6.199,43074,3,9,Female,5.5,0,2,3,yes,b,Họa sĩ,Painter,Công nhân,Worker,Labor,NA,UnderHi,Công nhân,Worker,Labor,NA,UnderHi,med,no,NA,yes,b,2,1,no,d,NA,a,buy,a,b,"Truyện thần đồng Việt Nam
Tục ngữ Việt Nam",yes,a,b,"Truyện kể về Bác Hồ
Sách các danh nhân văn hóa thế giới
Sách về các nhà bác học Việt Nam"
62,6.2,43074,3,9,Male,5.4,0,2,2,yes,e,Công nhân,Worker,Làm ruộng,Farmer,Labor,42,UnderHi,Công nhân,Worker,Labor,41,Hi,poor,no,NA,no,b,2,1,no,a,NA,a,borrow,b,b,"Tìm hiểu về các danh nhân văn hóa
Sách về khoa học",no,a,d,"Conan
Truyện về những nhà phát minh
Truyện về những những anh hùng dân tộc Việt Nam"
63,6.201,43074,3,9,Male,4.3,0,4,4,yes,f,Lái máy,Driver,Làm ruộng,Farmer,Labor,44,UnderHi,Làm ruộng,Farmer,Labor,45,UnderHi,med,yes,NA,yes,f,1,1,yes,c,NA,a,borrow,d,c,"Doraemon
Côn trùng",yes,a,a,"Thế giới động vật
Doraemon
Thực vật"
64,1.202,43074,3,9,Female,5,0,2,5,yes,e,Người mẫu,Model,Bán hàng,Seller,Labor,41,UnderHi,Bán hàng,Seller,Labor,40,UnderHi,med,no,NA,yes,b,2,1,no,b,NA,a,borrow,d,b,"Tìm hiểu về các danh nhân văn hóa thế giới
Đọc sách",yes,a,a,"Doraemon
Tìm hiểu trái đất
Thế giới loài người nguyên thủy"
65,6.203,43074,3,9,Male,5,0,2,2,yes,f,Công nhân,Worker,Bán hàng,Seller,Labor,42,UnderHi,Bán hàng,Seller,Labor,42,UnderHi,med,no,NA,no,b,2,1,no,e,NA,a,borrow,d,a,"Tìm hiểu về các danh nhân văn hóa thế giới
Đọc sách loài động vật",no,a,a,"Doraemon
Tìm hiểu trái đất
Thế giới loài người nguyên thủy"
66,6.204,43074,3,9,Male,5,0,2,2,yes,f,Công nhân,Worker,Làm ruộng,Farmer,Labor,45,UnderHi,Làm ruộng,Farmer,Labor,47,UnderHi,poor,no,NA,no,b,2,1,no,e,NA,a,borrow,d,a,"Tìm hiểu dạnh nhân văn hóa thế giới
Truyện tranh",no,NA,b,"Doraemon
Tìm hiểu về trái đất
Tìm hiểu về loài người nguyên thủy"
67,6.205,43074,3,9,Male,5,0,3,3,yes,e,Kiến trúc xây dựng,Architect,Làm ruộng,Farmer,Labor,56,UnderHi,Làm ruộng,Farmer,Labor,55,UnderHi,med,yes,NA,yes,b,2,2,no,c,NA,a,borrow,d,a,"Sách Ngữ văn
Sách toàn",yes,d,a,"Sách bài tập hóa học
Sách nói về những danh nhân nổi tiếng
Sách nói về chuyện vằ văn học"
68,6.206,,3,9,Male,6,0,1,2,yes,b,Công an,Police officer,Làm ruộng,Farmer,Labor,41,UnderHi,Làm ruộng,Farmer,Labor,36,UnderHi,med,no,NA,yes,c,2,2,no,a,NA,a,borrow,b,a,"Truyện ngụ ngôn
Chủ đề văn học",yes,d,a,"Thần đồng Việt Nam
Ca dao tục ngữ
Triết lý văn học"
69,6.207,43074,3,9,Male,5,0,2,3,yes,d,Lái máy,Driver,Làm ruộng,Farmer,Labor,40,UnderHi,Làm ruộng,Farmer,Labor,37,UnderHi,med,no,NA,yes,b,2,1,no,a,NA,a,borrow,a,a,"Doraemon
Conan",yes,a,b,"Vi trùng và thép
Truyện ma
Tìm hiểu về loài người"
70,6.208,43074,3,9,Male,5,0,3,3,no,d,Công nhân,Worker,Làm ruộng,Farmer,Labor,43,UnderHi,Làm ruộng,Farmer,Labor,43,UnderHi,med,no,NA,yes,e,1,1,no,e,NA,a,borrow,d,NA,"Truyện thần đồng Việt Nam
Tục ngữ Việt Nam",yes,d,d,"Truyện kể về Bác Hồ
Truyện văn học
Truyện Bác Hồ"
71,6.21,43074,3,9,Male,5,0,2,2,yes,f,Công nhân,Worker,Làm ruộng,Farmer,Labor,49,Hi,Làm ruộng,Farmer,Labor,49,Hi,med,no,NA,yes,b,2,1,no,a,NA,a,buy,b,d,"Văn học
Truyện hiện đại",yes,a,d,"Sách nói về những danh nhân nổi tiếng
Sách danh nhân"
72,6.211,43074,3,9,Female,5.5,0,1,2,yes,e,Bộ đội,Soldier,Làm ruộng,Farmer,Labor,43,UnderHi,Y tá,Nurse,Intellectuals,37,Uni,med,no,NA,no,c,1,1,no,b,NA,c,borrow,b,a,"Thần đồng Việt Nam
Conan",yes,a,a,"Trí thông minh
Gương hiếu thảo
Trạng Việt Nam"
73,6.212,43074,3,9,Male,5,0,2,2,yes,a,Nông dân,Farmer,NA,NA,NA,NA,NA,Giáo viên mầm non,Teacher,Intellectuals,42,NA,med,no,NA,yes,e,2,1,yes,a,NA,a,buy,a,a,NA,yes,a,a,"Truyện tranh
Truyện dân gian"
74,6.213,43074,3,9,Female,5,0,3,4,yes,b,Diễn viên,Actor,Làm ruộng,Farmer,Labor,42,Hi,Làm ruộng,Farmer,Labor,40,Hi,med,NA,NA,yes,b,1,1,no,a,NA,a,borrow,d,a,"Truyện cổ tích Việt Nam
Truyện văn học",yes,b,d,"Sách danh nhân
Sách hướng dẫn nghề
Sách phố biến khoa học"
75,6.214,43074,3,9,Male,5,0,3,3,no,d,Công dân,Worker,Làm ruộng,Farmer,Labor,46,UnderHi,Làm ruộng,Farmer,Labor,47,UnderHi,med,no,NA,no,e,1,1,yes,a,NA,a,borrow,b,c,"Thần đồng Việt Nam
Lịch sử văn học Việt Nam",no,a,a,"Truyện dân gian
Truyện hài
Truyện văn học"
76,6.215,43074,3,9,Male,4,0,3,3,yes,b,Kỹ sư,Engineer,Thợ mộc,Worker,Labor,NA,Hi,Làm ruộng,Farmer,Labor,NA,Hi,med,no,NA,no,b,1,1,no,a,NA,a,gift,d,d,"Ma Đom Đóm
Hồ sơ Mật",yes,a,b,"Sách danh nhân
Truyện văn học
Truyện cổ tích Việt Nam"
77,6.216,43074,3,9,Male,5,0,2,2,yes,f,Công nhân viên chức,Public servant,Làm ruộng,Farmer,Labor,42,Hi,Làm ruộng,Farmer,Labor,40,Hi,med,no,NA,yes,b,2,1,no,a,NA,a,borrow,a,a,"Truyện tranh
Sách danh nhân",no,NA,a,"Sách văn học
Sách tự nhiên sinh học
Sách ngoại ngữ"
